,train_X_mean,train_X_std
0,3.875196734079405e-06,0.001309956800299657
1,3.730267000950174e-06,0.001206561995188257
2,3.6495116099875795e-06,0.0012079810192888187
3,3.842457850813038e-06,0.0013127368114090807
4,0.041755015495025284,0.20002883336168184
5,0.0413200674169521,0.1990294436650282
6,0.0413200674169521,0.1990294436650282
7,0.0413200674169521,0.1990294436650282
8,0.0413200674169521,0.1990294436650282
9,0.0413200674169521,0.1990294436650282
10,0.0413200674169521,0.1990294436650282
11,0.0413200674169521,0.1990294436650282
12,0.0413200674169521,0.1990294436650282
13,0.0413200674169521,0.1990294436650282
14,0.0413200674169521,0.1990294436650282
15,0.0413200674169521,0.1990294436650282
16,0.0413200674169521,0.1990294436650282
17,0.041292883162072525,0.19896678356508643
18,0.041292883162072525,0.19896678356508643
19,0.041292883162072525,0.19896678356508646
20,0.041265698907192956,0.19890410001026587
21,0.041292883162072525,0.19896678356508646
22,0.041292883162072525,0.19896678356508646
23,0.041292883162072525,0.19896678356508646
24,0.041292883162072525,0.19896678356508646
25,0.04621323329527538,0.20994658931183385
26,0.04458217800250095,0.20638461039296088
27,0.041292883162072525,0.19896678356508646
28,0.1981188495623335,0.39858220107078407
29,0.19830913934649053,0.39872625270747436
30,0.19833632360137007,0.3987468198514725
31,0.19833632360137007,0.3987468198514725
32,0.1850704072201381,0.3883546724213709
33,0.00016310552927744252,0.012770235936103986
34,0.021665851139020278,0.1455899791656077
35,1.8471777332041745e-05,0.002563736234485318
36,0.001167771760862647,0.0005993959659972542
37,0.027999782525960963,2.1949708499503453
38,50.4000449581137,26.39359252945779
